# .test .cputime .temperature .time_mat1 .time_mat2
444 0.345796  8.279 0.006095 0.010370
445 0.394500  7.792 0.006088 0.010168
446 0.346190  8.766 0.006055 0.010479
447 0.349474  7.792 0.006068 0.010509
448 0.391748  7.792 0.006136 0.010331
449 0.350943  8.279 0.006090 0.010620
450 0.353204  8.766 0.006140 0.010638
451 0.352039  7.792 0.006198 0.010447
452 0.355524  7.792 0.006210 0.010549
453 0.354789  7.305 0.006336 0.010580
454 0.354063  8.766 0.006270 0.010615
455 0.385486  8.766 0.006437 0.010651
456 0.354163  8.766 0.006323 0.010759
457 0.357413  8.766 0.006294 0.010790
458 0.421243  9.253 0.006334 0.011698
459 0.355796  7.305 0.006536 0.010861
460 0.367612  7.305 0.006435 0.010893
461 0.362226  8.279 0.006393 0.011049
462 0.362248  8.766 0.006480 0.011173
463 0.364037  8.279 0.006575 0.011196
464 0.361111  8.766 0.006553 0.011106
465 0.359572  8.279 0.006525 0.011149
466 0.363882  7.792 0.006605 0.011208
467 0.363853  8.279 0.006608 0.011263
468 0.363731  8.766 0.006661 0.011510
469 0.366071  7.792 0.006660 0.011345
470 0.365743  9.253 0.006775 0.011467
471 0.380496  9.253 0.006898 0.012703
472 0.376516  8.279 0.006798 0.011603
473 0.378680  9.253 0.006888 0.011792
474 0.374630  8.766 0.006797 0.011849
475 0.368948  8.279 0.006803 0.011901
476 0.371852  8.279 0.006913 0.011940
477 0.378277  8.279 0.006855 0.012016
478 0.405904  9.253 0.006929 0.011822
479 0.372211  8.279 0.006962 0.011871
480 0.375665  8.766 0.006939 0.012210
481 0.375114  7.792 0.007020 0.011942
482 0.409382  8.766 0.007218 0.012032
483 0.375904  8.766 0.007079 0.012275
484 0.388018  8.766 0.007163 0.012128
485 0.377242  8.766 0.007391 0.012165
486 0.420226  9.253 0.007351 0.013361
487 0.392235  7.792 0.007190 0.012559
488 0.383808  8.766 0.007181 0.012368
489 0.390511  8.766 0.007246 0.012666
490 0.422080  9.740 0.007267 0.012381
491 0.383222  7.792 0.007300 0.012732
492 0.392270  8.279 0.007321 0.012537
493 0.385260  8.279 0.007382 0.012577
494 0.416476  9.253 0.007580 0.012673
495 0.384945  9.253 0.007485 0.012740
496 0.398228  8.766 0.007417 0.012749
497 0.385184  7.792 0.007516 0.012980
498 0.454635  9.253 0.007490 0.012964
499 0.388417  8.279 0.007578 0.012854
500 0.390187  8.766 0.007515 0.013200
