# .test .cputime .temperature .time_mat1 .time_mat2
460 0.358304  7.792 0.006664 0.011031
461 0.361669  7.792 0.006617 0.011023
462 0.362283  7.792 0.006691 0.011078
463 0.361265  8.766 0.006438 0.011111
464 0.366183  7.792 0.006534 0.011284
465 0.364247  7.305 0.006518 0.011192
466 0.363981  8.279 0.006584 0.011291
467 0.364276  7.792 0.006748 0.011538
468 0.367374  9.253 0.006624 0.011378
469 0.367808  8.279 0.006660 0.011749
470 0.371834  7.305 0.006702 0.011525
471 0.367432  8.279 0.006739 0.011732
472 0.376756  8.766 0.006926 0.011617
473 0.368908  8.766 0.006777 0.011894
474 0.376187  9.253 0.006825 0.011660
475 0.371539  9.253 0.006814 0.011736
476 0.371952  7.792 0.007037 0.011856
477 0.375423  9.253 0.006916 0.012021
478 0.373735  7.305 0.006906 0.011895
479 0.375949  8.766 0.006962 0.011935
480 0.377758  8.279 0.006963 0.011984
481 0.373519  8.279 0.007242 0.012021
482 0.401481  8.279 0.007004 0.012165
483 0.375978  8.279 0.007032 0.012529
484 0.377708  8.766 0.007096 0.012269
485 0.381682  8.279 0.007128 0.012453
486 0.379910  9.253 0.007152 0.012292
487 0.383359  8.279 0.007192 0.012344
488 0.382369  7.792 0.007183 0.012647
489 0.389851  7.792 0.007263 0.012547
490 0.385001  8.279 0.007466 0.012550
491 0.382647  8.766 0.007439 0.012522
492 0.388260  8.766 0.007290 0.012571
493 0.381984  7.792 0.007480 0.012597
494 0.393588  8.766 0.007356 0.014291
495 0.391118  8.766 0.007413 0.012755
496 0.388679  8.279 0.007410 0.013257
497 0.391825  8.766 0.007510 0.012848
498 0.387893  8.766 0.007630 0.012852
499 0.390794  8.766 0.007665 0.012996
500 0.389428  9.740 0.007528 0.012974
